DateTime,AddedIPs,RemovedIPs
1512401317,0,3
1512480036,6,0
1512565505,0,6
1512576086,8,0
1512663641,1,5
1512748135,0,4
1512933430,1,0
1513017417,0,1
1513087971,10,0
1513171739,0,10
1513190668,1,0
1513276618,0,1
1513353343,3,0
1513438379,0,3
1513550431,9,0
1513635513,0,9
1513679495,11,0
1513764106,0,11
1513986995,2,0
1513988940,2,0
1514043397,2,0
1514074151,0,2
1514076062,0,2
1514129400,0,2
1514151165,5,0
1514238439,10,3
1514323047,0,1
1514339121,6,9
1514395991,4,0
1514425495,0,6
1514479666,0,6
1514503094,4,0
1514589997,5,2
1514644849,6,0
1514675814,0,3
