DateTime,AddedIPs,RemovedIPs
1512623538,197,4845
1512709977,5496,110
1512796630,3646,4070
1512882655,3269,3760
1512969443,3436,3271
1513054931,3318,3510
1513142018,3287,3282
1513228632,3527,3209
1513314756,2958,3337
1513401417,2589,3170
1513487812,2499,2742
1513573965,2485,2584
1513660370,2828,2524
1513746798,2822,2695
1513833184,2647,2778
1513919589,2691,2651
1514006233,2550,2683
1514092597,2423,2631
1514178694,2255,2373
1514265317,2591,2312
1514351757,2615,2445
1514438022,2627,2530
1514524373,2504,2677
1514610775,2548,2518
1514697092,2380,2577
